Unicode,Caractere,Nome,Origem
U+00FF,ÿ,LATIN SMALL LETTER Y WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+0100,Ā,LATIN CAPITAL LETTER A WITH MACRON,DejaVu Serif: base vetorial licenciada
U+0101,ā,LATIN SMALL LETTER A WITH MACRON,DejaVu Serif: base vetorial licenciada
U+0102,Ă,LATIN CAPITAL LETTER A WITH BREVE,DejaVu Serif: base vetorial licenciada
U+0103,ă,LATIN SMALL LETTER A WITH BREVE,DejaVu Serif: base vetorial licenciada
U+0104,Ą,LATIN CAPITAL LETTER A WITH OGONEK,DejaVu Serif: base vetorial licenciada
U+0105,ą,LATIN SMALL LETTER A WITH OGONEK,DejaVu Serif: base vetorial licenciada
U+0106,Ć,LATIN CAPITAL LETTER C WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+0107,ć,LATIN SMALL LETTER C WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+0108,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+0109,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+010A,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE,DejaVu Serif: base vetorial licenciada
U+010B,ċ,LATIN SMALL LETTER C WITH DOT ABOVE,DejaVu Serif: base vetorial licenciada
U+010C,Č,LATIN CAPITAL LETTER C WITH CARON,DejaVu Serif: base vetorial licenciada
U+010D,č,LATIN SMALL LETTER C WITH CARON,DejaVu Serif: base vetorial licenciada
U+010E,Ď,LATIN CAPITAL LETTER D WITH CARON,DejaVu Serif: base vetorial licenciada
U+010F,ď,LATIN SMALL LETTER D WITH CARON,DejaVu Serif: base vetorial licenciada
U+0110,Đ,LATIN CAPITAL LETTER D WITH STROKE,DejaVu Serif: base vetorial licenciada
U+0111,đ,LATIN SMALL LETTER D WITH STROKE,DejaVu Serif: base vetorial licenciada
U+0112,Ē,LATIN CAPITAL LETTER E WITH MACRON,DejaVu Serif: base vetorial licenciada
